CODGEO;POPU;MEDECINS
02277;335,0;0,00
02278;42,0;0,00
02279;584,0;0,00
02280;399,0;0,00
02281;260,0;0,00
02282;411,0;0,00
02283;291,0;0,00
02284;91,0;0,00
02286;848,0;0,00
02287;1097,0;3,00
02288;381,0;0,00
02289;429,0;0,00
02290;2735,0;2,00
02291;421,0;0,00
02292;1153,0;4,00
02293;569,0;0,00
02294;221,0;0,00
02295;916,0;3,00
02296;1204,0;6,00
02297;81,0;0,00
02298;1479,0;9,00
02299;567,0;0,00
02301;307,0;0,00
02302;332,0;0,00
02303;630,0;0,00
02304;3054,0;18,00
02305;3231,0;15,00
02306;591,0;2,00
02307;2210,0;10,00
02308;502,0;0,00
02309;640,0;0,00
02310;279,0;0,00
02311;135,0;0,00
02312;1120,0;0,00
02313;483,0;1,00
02315;1628,0;10,00
02316;126,0;0,00
02317;214,0;0,00
02318;1466,0;3,00
02319;535,0;1,00
02320;284,0;0,00
02321;984,0;0,00
02322;382,0;0,00
02323;128,0;0,00
02324;283,0;0,00
02325;223,0;0,00
02326;484,0;0,00
02327;180,0;0,00
02328;571,0;0,00
02329;409,0;0,00
02330;457,0;0,00
02331;128,0;0,00
02332;255,0;0,00
02333;156,0;0,00
02334;3087,0;15,00
02335;207,0;0,00
02336;999,0;0,00
02337;208,0;0,00
02338;244,0;0,00
02339;679,0;0,00
02340;5406,0;10,00
02341;292,0;0,00
02342;152,0;0,00
02343;65,0;0,00
02344;46,0;0,00
02345;47,0;0,00
02346;681,0;0,00
02347;486,0;0,00
02348;231,0;0,00
02349;59,0;0,00
02350;152,0;0,00
02351;114,0;0,00
02352;585,0;1,00
02353;314,0;0,00
02354;89,0;0,00
02355;904,0;0,00
02356;189,0;0,00
02357;74,0;0,00
02358;390,0;0,00
02359;1149,0;1,00
02360;2140,0;11,00
02361;5173,0;29,00
02362;265,0;0,00
02363;450,0;0,00
02364;221,0;0,00
02366;296,0;0,00
02367;144,0;0,00
02368;603,0;0,00
02369;248,0;0,00
02370;565,0;0,00
02371;1697,0;1,00
02372;350,0;2,00
02373;223,0;0,00
02374;921,0;2,00
02375;159,0;0,00
02376;165,0;0,00
02377;150,0;0,00
02378;151,0;0,00
02379;241,0;0,00
02380;33,0;0,00
02381;9365,0;44,00
02382;1424,0;6,00
02383;1499,0;4,00
02384;59,0;0,00
02385;171,0;0,00
02386;221,0;0,00
02387;1102,0;1,00
02388;214,0;0,00
02389;663,0;6,00
02390;250,0;0,00
02391;221,0;0,00
02392;321,0;0,00
02393;163,0;0,00
02395;154,0;0,00
02396;67,0;0,00
02397;1236,0;1,00
02398;292,0;0,00
02399;519,0;0,00
02400;147,0;0,00
02401;224,0;0,00
02402;51,0;0,00
02403;289,0;0,00
02404;179,0;0,00
02405;546,0;0,00
02406;129,0;0,00
02407;171,0;0,00
02408;25745,0;124,00
02409;298,0;0,00
02410;231,0;0,00
02411;212,0;0,00
02412;102,0;0,00
02413;255,0;0,00
02414;215,0;0,00
02415;159,0;0,00
02416;445,0;0,00
02417;110,0;0,00
02418;217,0;0,00
02419;298,0;0,00
02420;847,0;2,00
02421;83,0;0,00
02422;840,0;0,00
02423;404,0;0,00
02424;105,0;0,00
02425;165,0;0,00
02426;581,0;0,00
02427;149,0;0,00
02428;84,0;0,00
02429;114,0;0,00
02430;1304,0;6,00
02431;428,0;0,00
02432;184,0;0,00
02433;246,0;0,00
02434;275,0;0,00
02435;77,0;0,00
02438;301,0;0,00
02439;490,0;0,00
02440;144,0;0,00
02441;210,0;0,00
02442;82,0;0,00
02443;179,0;0,00
02444;121,0;0,00
02445;293,0;0,00
02446;126,0;0,00
02447;155,0;0,00
